"","ï..FID","source","survey_cod","siteid","s_east","s_north","m_code","hull_sampl","hull_secti","s_date","taxon_name","phylum","class","F_order","family","genus","species","authority","aphia_id","Name","Year_","establishe","biosecurit","GlobalID","x","y"
"24",55821,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10217a",1622623,5432269,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","ddbd724c-5f53-4d45-aab4-3b9c5c729748",1622623,5432269
"25",55823,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10219a",1623508,5432177,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","b4dff6fa-6777-4d2f-8f26-b8b299080e41",1623508,5432177
"26",55824,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10219b",1623508,5432177,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","5d74ec44-7b16-4758-9fe3-7bc920e78031",1623508,5432177
"27",55826,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10220a",1622785,5432231,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","9345cfac-3ccc-4337-af13-62796869d3f3",1622785,5432231
"28",55828,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10220b",1622785,5432231,"VISD","no"," ","November 10, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","3f700ff1-1cea-4547-9c29-ed02436e8368",1622785,5432231
"29",55830,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10221a",1623633,5432147,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","8812c8aa-aec4-4425-b492-2cd2ab06b9dd",1623633,5432147
"30",55831,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10221b",1623633,5432147,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","21546b18-84d8-4d41-b9b7-ce1c7ed48ae7",1623633,5432147
"31",55832,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10222a",1622512,5432005,"VISD","no"," ","November 11, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","f0231b32-cc2b-4537-a0bd-bdd7dae66f87",1622512,5432005
"32",55833,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10222b",1622512,5432005,"VISD","no"," ","November 11, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","4ca6922e-df1e-457c-8b29-71438b95e500",1622512,5432005
"33",55834,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10223a",1623408,5431959,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","a4f452a3-fd58-45ed-afd4-3f76003d7ea6",1623408,5431959
"34",55835,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10223b",1623408,5431959,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","161a7530-2e2f-44fc-89af-dfb87b14bc61",1623408,5431959
"35",55836,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10224a",1623367,5431873,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","83ae363f-35b2-4ca0-bc9c-31ed78a01751",1623367,5431873
"36",55837,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10224b",1623367,5431873,"VISD","no"," ","November 9, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","357195e2-a14f-42db-bdcd-069a45b15d8c",1623367,5431873
"37",55838,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10225a",1621607,5432144,"VISD","no"," ","November 11, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","a882562b-f79a-4608-ac11-3fca2ccf4b45",1621607,5432144
"38",55839,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10226a",1621719,5432039,"VISD","no"," ","November 11, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","52e66f93-947e-44df-b8b3-30c563a967b1",1621719,5432039
"39",55840,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10226b",1621719,5432039,"VISD","no"," ","November 11, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","d72a9b34-980e-490a-aabe-0b178a1a06a9",1621719,5432039
"40",55841,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10228a",1621583,5431865,"VISD","no"," ","November 11, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","e5657a0a-3d05-4916-8127-3852b0b9ec8c",1621583,5431865
"41",55842,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10229a",1621736,5431667,"VISD","no"," ","November 11, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","5a394bfa-5fde-453a-9433-21bb9fc2e487",1621736,5431667
"42",55843,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10229b",1621736,5431667,"VISD","no"," ","November 11, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","0a0c63ab-7c98-4f49-8f26-f6c60c425616",1621736,5431667
"43",55851,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10244",1621673,5431611,"WRACK","no"," ","November 12, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","81af8d8b-dfb3-4562-b645-07f8349ff10b",1621673,5431611
"44",55852,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10245",1621673,5431611,"WRACK","no"," ","November 12, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","fcef2273-b651-41ce-8a79-f2daa4fa2f76",1621673,5431611
"45",55854,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10247",1621822,5432299,"WRACK","no"," ","November 12, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","a2ae4e3e-6532-4e4b-95d5-7466cc2cc65a",1621822,5432299
"46",55856,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10250",1623387,5431969,"WRACK","no"," ","November 13, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","58eb75a0-6adc-444f-8d54-3c20cf46cf32",1623387,5431969
"47",55857,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10251",1623370,5431930,"WRACK","no"," ","November 13, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","72771dd7-06b3-4962-80c5-8db939253504",1623370,5431930
"48",55858,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10252",1623370,5431891,"WRACK","no"," ","November 13, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","6984e971-3695-4da4-a3b0-d8dd243426bc",1623370,5431891
"49",55859,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10253",1623373,5431856,"WRACK","no"," ","November 13, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","e7a0c735-31b4-40c5-b241-059fc7efcb5c",1623373,5431856
"50",55860,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10254",1623373,5431826,"WRACK","no"," ","November 13, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","d04349ff-7161-45e8-bf4a-827a437ef306",1623373,5431826
"51",55861,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10255",1623374,5431780,"WRACK","no"," ","November 13, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","228a1e84-6477-457d-b82a-a067363d9893",1623374,5431780
"52",55871,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10260",1623687,5432391,"WRACK","no"," ","November 12, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","d54a0100-3cc3-45aa-af02-54bb2b616bb0",1623687,5432391
"53",55873,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10261",1623639,5432303,"WRACK","no"," ","November 12, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","b76ebd5b-b9ff-4fca-9208-b31c3e5125a2",1623639,5432303
"54",55875,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10262",1623633,5432207,"WRACK","no"," ","November 12, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","c20b94bc-49f1-4edc-b3cc-2b7cd5abcf3d",1623633,5432207
"55",55877,"Marine High Risk Site Surveillance","SVNSN10","SVNSN10263",1623630,5432092,"WRACK","no"," ","November 12, 2009","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2009,"yes","Non-indigenous","d388de57-a60c-47e5-b1cb-b4aca15de994",1623630,5432092
"56",56207,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11072",1621648,5431969,"BSLD","no"," ","May 6, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","e18bade4-e882-4d54-9736-473adeb6be08",1621648,5431969
"57",56426,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11191a",1623393,5432522,"VISD","no"," ","May 4, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","862d0684-09a5-4a64-94c0-ee38f5aa19c3",1623393,5432522
"58",56429,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11191b",1623393,5432522,"VISD","no"," ","May 4, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","c1515f38-10fb-479a-acb3-6ac48be5f9ba",1623393,5432522
"59",56433,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11193a",1623675,5432481,"VISD","no"," ","May 5, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","ee5f0524-7bd1-4a1a-ba04-ab0ca4cda9d4",1623675,5432481
"60",56435,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11193b",1623675,5432481,"VISD","no"," ","May 5, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","56fcefb0-ba78-4742-84ad-bcbe808480fc",1623675,5432481
"61",56438,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11194a",1623258,5432461,"VISD","no"," ","May 4, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","75122de9-51fe-44f1-b000-1f62bafaed3a",1623258,5432461
"62",56445,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11196a",1623565,5432394,"VISD","no"," ","May 5, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","0907d118-e5ef-4aee-b0ab-902cd5a03b6c",1623565,5432394
"63",56453,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11198b",1623492,5432290,"VISD","no"," ","May 3, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","44868c29-1edf-4fc6-b216-99aa929f3466",1623492,5432290
"64",56461,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11202a",1623467,5431999,"VISD","no"," ","May 3, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","23d689a2-90c4-43b1-b30d-d4343e4bed06",1623467,5431999
"65",56466,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11204a",1623474,5431852,"VISD","no"," ","May 3, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","0ec1e902-daa8-4cc6-94dd-a4e1874bedac",1623474,5431852
"66",56470,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11206b",1621601,5432138,"VISD","no"," ","May 5, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","24d68d02-6266-4a81-b18d-b17d7bc415bf",1621601,5432138
"67",56502,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11254",1623366,5431890,"WRACK","no"," ","May 6, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","78fcaf50-a1a4-43d9-ae30-7b0828b362cd",1623366,5431890
"68",56503,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11255",1623364,5431855,"WRACK","no"," ","May 6, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","57a4e2ed-ba63-4de9-84b8-124038b195dc",1623364,5431855
"69",56507,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11258",1623663,5432398,"WRACK","no"," ","May 7, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","b861c110-201b-49c3-8a53-304ba059aeed",1623663,5432398
"70",56510,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11259",1623634,5432304,"WRACK","no"," ","May 7, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","c3b05a3a-af9a-4d0c-a29e-2fa99f45a6a6",1623634,5432304
"71",56514,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11260",1623629,5432206,"WRACK","no"," ","May 7, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","d255095d-5223-476c-9516-884d79668d60",1623629,5432206
"72",56517,"Marine High Risk Site Surveillance","SVNSN11","SVNSN11261",1623628,5432091,"WRACK","no"," ","May 7, 2010","Undaria pinnatifida","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","(Harvey) Suringar, 1873",145721,"Nelson",2010,"yes","Non-indigenous","77fa203f-8228-43d4-98ab-50f7fc6f0230",1623628,5432091
